,Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
0,É #FAKE que g1 noticiou que bancos apoiam Lula em troca do fim do PIX,8/1/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/01/e-fake-que-g1-noticiou-que-bancos-apoiam-lula-em-troca-do-fim-do-pix.ghtml
1,É #FAKE áudio que mostra Bonner chamando Lula e Alckmin de bandidos,8/2/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/02/e-fake-audio-que-mostra-bonner-chamando-lula-e-alckmin-de-bandidos.ghtml
2,"É #FAKE print em que Lula fala em atacar igrejas evangélicas, aprovar leis pró-aborto e ideologia de gênero",8/3/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/03/e-fake-print-em-que-lula-fala-em-atacar-igrejas-evangelicas-aprovar-leis-pro-aborto-e-ideologia-de-genero.ghtml
3,É #FAKE que Bolsonaro foi criador do PIX,8/3/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/03/e-fake-que-bolsonaro-foi-criador-do-pix.ghtml
4,É #FAKE vídeo que mostra mãe passar mal após cheirar boneca dada à filha,8/4/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/04/e-fake-video-que-mostra-mae-passar-mal-apos-cheirar-boneca-dada-a-filha.ghtml
5,É #FAKE que vídeo mostre avião que errou caminho do aeroporto,8/5/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/05/e-fake-que-video-mostre-aviao-que-errou-caminho-do-aeroporto.ghtml
6,É #FAKE imagem que mostra Lula e Moro juntos e sorrindo em 2022,8/5/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/05/e-fake-imagem-que-mostra-lula-e-moro-juntos-e-sorrindo-em-2022.ghtml
7,É #FAKE que g1 publicou reportagem dizendo que a Renner declara apoio a Lula e fecha parceria com PT,8/5/2022,Falsa,Lula,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/05/e-fake-que-g1-publicou-reportagem-dizendo-que-a-renner-declara-apoio-a-lula-e-fecha-parceria-com-pt.ghtml
8,É #FAKE que diretor da OMS ainda não foi vacinado,8/8/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2022/08/08/e-fake-que-diretor-da-oms-ainda-nao-foi-vacinado.ghtml
9,Veja o que é #FATO ou #FAKE na entrevista de Jair Bolsonaro para o podcast Flow,8/9/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/09/veja-o-que-e-fato-ou-fake-na-entrevista-de-jair-bolsonaro-para-o-podcast-flow.ghtml
10,É #FAKE que foto mostre morcego gigante no Brasil,8/9/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/09/e-fake-que-foto-mostre-morcego-gigante-no-brasil.ghtml
11,É #FAKE que diretor da OMS recomendou isolar homossexuais para evitar transmissão de varíola dos macacos,8/11/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/11/e-fake-que-diretor-da-oms-recomendou-isolar-homossexuais-para-evitar-transmissao-de-variola-dos-macacos.ghtml
12,É #FAKE mensagem sobre uso de cem aparelhos e coletes do Censo por criminosos,8/11/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/11/e-fake-mensagem-sobre-uso-de-cem-aparelhos-e-coletes-do-censo-por-criminosos.ghtml
13,É #FAKE vídeo que mostra Bolsonaro na liderança da pesquisa Ipec divulgada em 15 de agosto de 2022,8/17/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/17/e-fake-video-que-mostra-bolsonaro-com-44percent-das-intencoes-de-voto-na-pesquisa-ipec-divulgada-em-15-de-agosto-de-2022.ghtml
14,É #FAKE que QR Code do título de eleitor vem com fraude,8/17/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/17/e-fake-que-qr-code-do-titulo-de-eleitor-vem-com-fraude.ghtml
15,"Veja o que é #FATO ou #FAKE na sabatina de Fernando Haddad para O Globo, Valor e CBN",8/17/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/17/veja-o-que-e-fato-ou-fake-na-sabatina-de-fernando-haddad-para-o-globo-valor-e-cbn.ghtml
16,Fato ou Fake: como funciona a urna eletrônica e quais são as principais #FAKES sobre ela,8/19/2022,,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/19/fato-ou-fake-como-funciona-a-urna-eletronica-e-quais-sao-as-principais-fakes-sobre-ela.ghtml
17,É #FAKE que mulher que fala sobre urnas em vídeo é funcionária do TSE,8/19/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/19/e-fake-que-mulher-que-fala-sobre-urnas-em-video-e-funcionaria-do-tse.ghtml
18,Veja o que é #FATO ou #FAKE na entrevista de Jair Bolsonaro para o Jornal Nacional,8/23/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/23/veja-o-que-e-fato-ou-fake-na-entrevista-de-jair-bolsonaro-para-o-jornal-nacional.ghtml
19,É #FAKE que senador Randolfe Rodrigues disse em áudio que controla ações da PF e do STF,8/23/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/23/e-fake-que-senador-randolfe-rodrigues-disse-em-audio-que-controla-acoes-da-pf-e-do-stf.ghtml
20,É #FAKE que vídeo de crocodilo arrastando corpo de homem foi filmado no Brasil,8/24/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/08/24/e-fake-que-video-de-crocodilo-arrastando-corpo-de-homem-foi-filmado-no-brasil.ghtml
21,Veja o que é #FATO ou #FAKE na entrevista de Ciro Gomes para o Jornal Nacional,8/24/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/24/veja-o-que-e-fato-ou-fake-na-entrevista-de-ciro-gomes-para-o-jornal-nacional.ghtml
22,É #FAKE que mortes de três médicos de hospital canadense têm relação com vacina contra a Covid-19,8/25/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/coronavirus/noticia/2022/08/25/e-fake-que-mortes-de-tres-medicos-de-hospital-canadense-tem-relacao-com-vacina-contra-a-covid-19.ghtml
23,Veja o que é #FATO ou #FAKE na entrevista de Lula para o Jornal Nacional,8/26/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/26/veja-o-que-e-fato-ou-fake-na-entrevista-de-lula-para-o-jornal-nacional.ghtml
24,Veja o que é #FATO ou #FAKE nas declarações dos candidatos à presidência no início da campanha,8/26/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/26/veja-o-que-e-fato-ou-fake-nas-declaracoes-dos-candidatos-a-presidencia-no-inicio-da-campanha.ghtml
25,"Veja o que é #FATO ou #FAKE na sabatina de Simone Tebet para O Globo, Valor e CBN",8/26/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/26/veja-o-que-e-fato-ou-fake-na-sabatina-de-simone-tebet-para-o-globo-valor-e-cbn.ghtml
26,É #FAKE que Renata Vasconcellos tenha usado sapato vermelho na entrevista com Lula no JN,8/26/2022,Falsa,Lula,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/26/e-fake-que-renata-vasconcellos-tenha-usado-sapato-vermelho-na-entrevista-com-lula-no-jn.ghtml
27,Veja o que é #FATO ou #FAKE na entrevista de Simone Tebet para o Jornal Nacional,8/27/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/27/veja-o-que-e-fato-ou-fake-na-entrevista-de-simone-tebet-para-o-jornal-nacional.ghtml
28,Veja o que é #FATO ou #FAKE nas falas dos presidenciáveis no 1º debate,8/29/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/29/veja-o-que-e-fato-ou-fake-nas-falas-dos-presidenciaveis-no-debate-da-band.ghtml
29,É #FAKE que Lula recebeu papel com 'cola' durante entrevista ao JN,8/29/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/08/29/e-fake-que-lula-recebeu-papel-com-cola-durante-entrevista-ao-jn.ghtml
30,É #FAKE que empresa de pesquisas eleitorais Ipec fique no mesmo endereço do Instituto Lula,9/1/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/01/e-fake-que-empresa-de-pesquisas-eleitorais-ipec-fique-no-mesmo-endereco-do-instituto-lula.ghtml
31,É #FAKE que garoto que criou o próprio álbum da Copa foi processado por fabricante,9/2/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/02/e-fake-que-garoto-que-criou-o-proprio-album-da-copa-foi-processado-por-fabricante.ghtml
32,É #FAKE que TSE rejeitou candidatura de Lula em agosto de 2022,9/2/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/02/e-fake-que-tse-rejeitou-candidatura-de-lula-em-agosto-de-2022.ghtml
33,É #FAKE que Lula disse que enfermeiros 'só servem para servir sopa' após Barroso suspender piso para a categoria,9/5/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/05/e-fake-que-lula-disse-que-enfermeiros-so-servem-para-servir-sopa-apos-barroso-suspender-piso-para-a-categoria.ghtml
34,É #FAKE que pistola usada no atentado contra Cristina Kirchner era de água,9/6/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/06/e-fake-que-pistola-usada-no-atentado-contra-cristina-kirchner-era-de-agua.ghtml
35,Veja o que é #FATO ou #FAKE na entrevista de Jair Bolsonaro para a Jovem Pan,9/6/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/06/veja-o-que-e-fato-ou-fake-na-entrevista-de-jair-bolsonaro-para-a-jovem-pan.ghtml
36,É #FAKE que TSE considerou crime em março Petrobras diminuir preço dos combustíveis em ano eleitoral,9/8/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/08/e-fake-que-tse-considerou-crime-em-marco-petrobras-diminuir-preco-dos-combustiveis-em-ano-eleitoral.ghtml
37,É #FAKE que agentes do Censo usam celular como urna eletrônica e roubam dados para fraudar eleição,9/9/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/09/e-fake-que-agentes-do-censo-usam-celular-como-urna-eletronica-e-roubam-dados-para-fraudar-eleicao.ghtml
38,Veja o que é #FATO ou #FAKE nas declarações dos candidatos à presidência na 4ª semana de campanha,9/9/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/09/veja-o-que-e-fato-ou-fake-nas-declaracoes-dos-candidatos-a-presidencia-na-4a-semana-de-campanha.ghtml
39,É #FAKE que vídeo prove que Datafolha não entrevista bolsonaristas,9/14/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/14/e-fake-que-video-prove-que-datafolha-nao-entrevista-bolsonaristas.ghtml
40,Veja o que é #FATO ou #FAKE nas declarações dos candidatos à presidência na 5ª semana de campanha,9/16/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/16/veja-o-que-e-fato-ou-fake-nas-declaracoes-dos-candidatos-a-presidencia-na-5a-semana-de-campanha.ghtml
41,É #FAKE áudio sobre picada de cobra em piscina de bolinha em shopping em Nova Iguaçu,9/16/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/16/e-fake-audio-sobre-picada-de-cobra-em-piscina-de-bolinha-em-shopping-em-nova-iguacu.ghtml
42,É #FAKE vídeo que mostra Bolsonaro na liderança da pesquisa Ipec divulgada em 12 de setembro de 2022,9/19/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/19/e-fake-video-que-mostra-bolsonaro-na-lideranca-da-pesquisa-ipec-divulgada-em-12-de-setembro-de-2022.ghtml
43,É #FAKE que Freixo disse no RJ1 que policiais não poderão atirar durante operação em favelas,9/19/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/19/e-fake-que-freixo-disse-no-rj1-que-policiais-nao-poderao-atirar-durante-operacao-em-favelas.ghtml
44,Veja o que é #FATO ou #FAKE no discurso de Bolsonaro na ONU,9/20/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/20/veja-o-que-e-fato-ou-fake-no-discurso-de-bolsonaro-na-onu.ghtml
45,É #FAKE áudio atribuído a Bolsonaro em que ele xinga Michelle antes do desfile de 7 de setembro,9/20/2022,Falsa,Lula,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/20/e-fake-audio-atribuido-a-bolsonaro-em-que-ele-xinga-michelle-antes-do-desfile-de-7-de-setembro.ghtml
46,É #FAKE vídeo que mostra Bolsonaro recebido com refrão de apoio a Lula em igreja,9/21/2022,Falsa,Lula,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/21/e-fake-video-que-mostra-bolsonaro-recebido-com-refrao-de-apoio-a-lula-em-igreja.ghtml
47,É #FAKE que TSE envie mensagens de cancelamento de título por irregularidade no CPF,9/22/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/22/e-fake-que-tse-envie-mensagens-de-cancelamento-de-titulo-por-irregularidade-no-cpf.ghtml
48,É #FAKE que vídeo de garis com urnas no RJ mostre ação irregular,9/22/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/22/e-fake-que-video-de-garis-com-urnas-no-rj-mostre-acao-irregular.ghtml
49,Veja o que é #FATO ou #FAKE nas declarações dos candidatos à presidência na 6ª semana de campanha,9/23/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/23/veja-o-que-e-fato-ou-fake-nas-declaracoes-dos-candidatos-a-presidencia-na-6a-semana-de-campanha.ghtml
50,É #FAKE mensagem com oferta de bolsas de estudo em nome do Inep,9/23/2022,Falsa,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/23/e-fake-mensagem-com-oferta-de-bolsas-de-estudo-em-nome-do-inep.ghtml
51,Veja o que é #FATO ou #FAKE nas falas dos presidenciáveis no segundo debate,9/24/2022,,indefinido,Fato ou Fake,https://g1.globo.com/fato-ou-fake/politica/noticia/2022/09/24/veja-o-que-e-fato-ou-fake-nas-falas-dos-presidenciaveis-no-segundo-debate.ghtml
52,É #FAKE que Rede Globo entrou na Justiça para entrevistar Adélio Bispo,9/25/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/25/e-fake-que-rede-globo-entrou-na-justica-para-entrevistar-adelio-bispo.ghtml
53,É #FAKE que vídeos mostrem confronto no Chile em 2022,9/27/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/27/e-fake-que-videos-mostrem-confronto-no-chile-em-2022.ghtml
54,É #FAKE que vídeo mostre fraude em urnas em sindicato,9/27/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/27/e-fake-que-video-mostre-fraude-em-urnas-em-sindicato.ghtml
55,É #FAKE que WhatsApp tenha sido bloqueado; vídeo é antigo,9/28/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/noticia/2022/09/28/e-fake-que-reportagem-sobre-bloqueio-de-whatsapp-seja-nas-eleicoes-de-2022.ghtml
56,É #FAKE que eleitor perderá voto se apertar a tecla 'confirma' enquanto urna exibe 'confira seu voto',9/28/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/28/e-fake-que-eleitor-perdera-voto-se-apertar-a-tecla-confirma-enquanto-urna-exibe-confira-seu-voto.ghtml
57,"É #FAKE que urnas chegaram 'cheias de votos' antes da eleição em Cordeiro, RJ",9/28/2022,Falsa,Jair Bolsonaro,Fato ou Fake,https://g1.globo.com/fato-ou-fake/eleicoes/noticia/2022/09/28/e-fake-que-urnas-chegaram-cheias-de-votos-antes-da-eleicao-em-cordeiro-rj.ghtml
